project,repository,description,last activity,selected 
virgo,org.eclipse.virgo.kernel.git,Virgo Kernel - Core runtime,5 months,1
virgo,org.eclipse.virgo.medic.git,Virgo Medic - Diagnostics,7 months,1
virgo,org.eclipse.virgo.nano.git,Virgo Nano repository.,7 months,1
virgo,org.eclipse.virgo.osgi-extensions.git,Virgo OSGi Extensions - Launcher and Equinox hooks,3 years,0
virgo,org.eclipse.virgo.osgi-test-stubs.git,Virgo OSGi Test Stubs - Unit test stubs for common OSGi interfaces,3 years,0
virgo,org.eclipse.virgo.packaging.git,This repository hosts all packaging scripts of the Virgo distributions.,6 months,1
virgo,org.eclipse.virgo.performance-test.git,Virgo Performance Test - Performance regression test,3 years,0
virgo,org.eclipse.virgo.root.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,1
virgo,org.eclipse.virgo.sample-configuration-properties.git,Virgo Configuration Properties Sample - Configuration properties sample,3 years,0
virgo,org.eclipse.virgo.sample-formtags.git,Virgo Formtags Sample - Formtags sample web application,3 years,0
virgo,org.eclipse.virgo.sample-greenpages.git,Virgo Greenpages Sample - Greenpages sample web application,3 weeks,0
virgo,org.eclipse.virgo.sample-osgi-examples.git,Virgo OSGi Samples - Basic OSGi samples,3 years,0
virgo,org.eclipse.virgo.samples.git,virgo project repository,3 weeks,0
virgo,org.eclipse.virgo.snaps.git,Virgo Snaps - Modular OSGi Web Applications,4 weeks,0
virgo,org.eclipse.virgo.system-verification-tests.git,System Verification Test suite for Virgo,3 years,0
virgo,org.eclipse.virgo.test.git,Virgo Test - Test framework,7 months,0
virgo,org.eclipse.virgo.util.git,Virgo Utilities - Common utility classes,7 months,1
virgo,org.eclipse.virgo.virgo-build.git,Virgo Build - Ant/Ivy based build system,24 months,0
virgo,org.eclipse.virgo.web-server.git,Virgo Web Server - Packaging build,3 years,0
virgo,org.eclipse.virgo.web.git,Virgo Web - Integration layer to bind the OSGi web container into Virgo,7 months,1
vjet,org.eclipse.vjet.all.git,vjet project repository,3 years,0
vjet,org.eclipse.vjet.core.git,vjet project repository,3 years,0
vjet,org.eclipse.vjet.dltk.git,vjet project repository,4 years,0
vjet,org.eclipse.vjet.eclipse.git,vjet project repository,4 years,0
vjet,org.eclipse.vjet.jsdt.parser.git,vjet project repository,3 years,0
vjet,org.eclipse.vjet.rhino.git,vjet project repository,4 years,0
vjet,org.eclipse.vjet.typelibs.git,vjet project repository,3 years,0
vjet,org.eclipse.vjet.vsf.git,vjet project repository,4 years,0
vjet,type.back,vjet project repository,3 years,0
vorto,org.eclipse.vorto.git,Vorto project git repository,23 months,0
wazaabi,org.eclipse.wazaabi.git,Eclipse Wazaabi project repository,3 years,0
webservices,webtools.webservices.axis2.git,webservices project repository,6 months,1
webservices,webtools.webservices.git,webservices project repository,46 hours,1
webservices,webtools.webservices.jaxws.git,webservices project repository,6 months,1
websites,dev.eclipse.org.git,dev.eclipse.org website,5 days,1
websites,events.eclipse.org.git,events.eclipse.org website,4 weeks,1
webtools,incubator/org.eclipse.webtools.incubator.sieditor.git,"Unnamed repository, edit this file 'description' to name the repository.",22 months,0
webtools,incubator/org.eclipse.webtools.incubator.xmlsearch.git,"Unnamed repository, edit this file 'description' to name the repository.",5 years,0
webtools,org.eclipse.webtools.incubator.git,Webtools Incubator project,4 years,0
webtools,org.eclipse.webtools.java-ee-config.git,Web Tools Java EE Configuration Editors Project,3 years,0
webtools,webtools.maps.git,webtools project repository,2 years,0
webtools,webtools.releng.aggregator.git,webtools project repository,12 days,0
webtools,webtools.releng.git,webtools project repository,5 months,0
webtools,webtools.releng.patch.aggregator.git,"Unnamed repository, edit this file 'description' to name the repository.",,0
webtools-common,webtools.common.fproj.git,webtools common project repository,9 months,1
webtools-common,webtools.common.git,webtools common project repository,9 months,1
webtools-common,webtools.common.snippets.git,webtools common project repository,10 months,0
webtools-common,webtools.common.tests.git,webtools common project repository,8 months,0
windowbuilder,org.eclipse.windowbuilder.git,tools.windowbuilder project repository,7 weeks,1
winery,3rdparty-bootstrap.git,winery project repository,3 years,0
winery,3rdparty-datatables.git,winery project repository,3 years,0
winery,3rdparty-javalibraries-mvnrepo.git,winery project repository,,0
winery,3rdparty-jquery-ui.git,winery project repository,3 years,0
winery,3rdparty-requirejs.git,winery project repository,3 years,0
winery,org.eclipse.winery.git,winery project repository,8 weeks,1
www.eclipse.org,10years.git,The 10 years of Eclipse Birthday party.,2 years,0
www.eclipse.org,4diac.git,"Unnamed repository, edit this file 'description' to name the repository.",3 days,0
www.eclipse.org,MoDisco.git,modeling.mdt.modisco project website,6 months,0
www.eclipse.org,Xtext.git,www.eclipse.org project repository,7 days,0
www.eclipse.org,acceleo.git,modeling.m2t.acceleo project website,3 months,0
www.eclipse.org,actf.git,technology.actf project website,6 months,0
www.eclipse.org,aether.git,technology.aether project website,2 years,0
www.eclipse.org,agail.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,0
www.eclipse.org,ajdt.git,tools.ajdt project website,5 months,0
www.eclipse.org,amp.git,modeling.amp project website,3 years,0
www.eclipse.org,amw.git,modeling.gmt.amw project website,3 years,0
www.eclipse.org,andmore.git,"Unnamed repository, edit this file 'description' to name the repository.",24 months,0
www.eclipse.org,app4mc.git,technology.app4mc project website,5 weeks,0
www.eclipse.org,arch.git,www.eclipse.org project repository,22 months,0
www.eclipse.org,articles.git,The Eclipse Corner Articles web directory (/articles),8 weeks,0
www.eclipse.org,artwork.git,Eclipse logos and other artwork.,3 years,0
www.eclipse.org,aspectj.git,tools.aspectj project website,42 hours,0
www.eclipse.org,atf.git,tools.atf project website,4 years,0
www.eclipse.org,atl.git,modeling.mmt.atl project website,7 months,0
www.eclipse.org,b3.git,modeling.emft.b3 project website,24 months,0
www.eclipse.org,babel.git,Babel project website - http://eclipse.org/babel,11 days,0
www.eclipse.org,birt.git,birt project website,5 months,0
www.eclipse.org,bpel.git,soa.bpel project website,19 months,0
www.eclipse.org,bpmn2-modeler.git,soa.bpmn2-modeler project website,4 months,0
www.eclipse.org,buckminster.git,tools.buckminster project website,17 months,0
www.eclipse.org,buildship.git,"Unnamed repository, edit this file 'description' to name the repository.",21 months,0
www.eclipse.org,californium.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,callisto.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,camf.git,"Unnamed repository, edit this file 'description' to name the repository.",2 years,0
www.eclipse.org,capra.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
www.eclipse.org,cbi-jekyll.git,"Unnamed repository, edit this file 'description' to name the repository.",,0
www.eclipse.org,cbi.git,www.eclipse.org project repository,11 months,0
www.eclipse.org,cdo.git,modeling.emf.cdo project website,7 weeks,0
www.eclipse.org,cdt.git,tools.cdt project website,3 weeks,0
www.eclipse.org,cft.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
www.eclipse.org,che.git,"Unnamed repository, edit this file 'description' to name the repository.",6 days,0
www.eclipse.org,chemclipse.git,"Unnamed repository, edit this file 'description' to name the repository.",21 months,0
www.eclipse.org,collections.git,"Unnamed repository, edit this file 'description' to name the repository.",9 weeks,0
www.eclipse.org,committers.git,www-auth project website,8 months,0
www.eclipse.org,community.git,www-auth project website,5 hours,0
www.eclipse.org,concierge.git,www.eclipse.org project repository,6 weeks,0
www.eclipse.org,contribute.git,www-auth project website,6 months,0
www.eclipse.org,corporate_sponsors.git,www-auth project website,7 months,0
www.eclipse.org,damos.git,www.eclipse.org project repository,17 months,0
www.eclipse.org,dash.git,technology.dash project website,4 years,0
www.eclipse.org,datatools.git,datatools project repository,9 months,0
www.eclipse.org,dawnsci.git,"Unnamed repository, edit this file 'description' to name the repository.",6 months,0
www.eclipse.org,diffmerge.git,modeling.emf.diffmerge project website,3 years,0
www.eclipse.org,dirigible.git,"Unnamed repository, edit this file 'description' to name the repository.",14 months,0
www.eclipse.org,dltk.git,technology.dltk project website,3 months,0
www.eclipse.org,documentation.git,www-auth project website,6 months,0
www.eclipse.org,donate.git,www-auth project website,4 weeks,0
www.eclipse.org,downloads.git,Eclipse.org/downloads website,22 hours,0
www.eclipse.org,e4.git,eclipse.e4 project website,7 months,0
www.eclipse.org,ease.git,www.eclipse.org project repository,7 months,0
www.eclipse.org,eatop.git,www.eclipse.org project repository,11 months,0
www.eclipse.org,eavp.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,0
www.eclipse.org,ebam.git,soa.ebam project website,4 years,0
www.eclipse.org,ebpm.git,soa.ebpm project website,4 years,0
www.eclipse.org,ebr.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,ecd.git,ECD top-level project website repository,7 months,0
www.eclipse.org,ecf.git,ECF project website,3 days,0
www.eclipse.org,eclemma.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
www.eclipse.org,eclipse.git,Eclipse top-level project website,5 days,0
www.eclipse.org,eclipse.org-common.git,Eclipse.org/common website,5 days,0
www.eclipse.org,eclipse/news.git,Eclipse Platform, JDT, and PDE N&N files,25 hours,0
www.eclipse.org,eclipse4.git,www-auth project website,24 months,0
www.eclipse.org,eclipselink.git,rt.eclipselink project website,3 months,0
www.eclipse.org,eclipsescada.git,www.eclipse.org project repository,6 days,0
www.eclipse.org,ecoretools.git,modeling.emft.ecoretools project website,8 weeks,0
www.eclipse.org,ecp.git,modeling.emft.emf-client project website,13 days,0
www.eclipse.org,edapt.git,modeling.emft.edapt project website,6 weeks,0
www.eclipse.org,edje.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
www.eclipse.org,edt.git,tools.edt project website,4 years,0
www.eclipse.org,eef.git,modeling.emf.eef project website,8 weeks,0
www.eclipse.org,efm.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
www.eclipse.org,efxclipse.git,www.eclipse.org project repository,4 months,0
www.eclipse.org,egerrit.git,"Unnamed repository, edit this file 'description' to name the repository.",14 months,0
www.eclipse.org,egf.git,modeling.emf.egf project website,4 years,0
www.eclipse.org,egit.git,Eclipse.org/egit website,3 months,0
www.eclipse.org,elk.git,"Unnamed repository, edit this file 'description' to name the repository.",8 weeks,0
www.eclipse.org,emf-parsley.git,www.eclipse.org project repository,5 months,0
www.eclipse.org,emf-query.git,www.eclipse.org project repository,3 months,0
www.eclipse.org,emf-refactor.git,modeling.emft.refactor project website,3 years,0
www.eclipse.org,emf-transaction.git,www.eclipse.org project repository,3 months,0
www.eclipse.org,emf-validation.git,www.eclipse.org project repository,3 months,0
www.eclipse.org,emf.git,modeling.emf project website,3 years,0
www.eclipse.org,emf/compare.git,modeling.emf.compare project website,5 weeks,0
www.eclipse.org,emf/mwe.git,modeling.emf.mwe project website,3 years,0
www.eclipse.org,emf/teneo.git,modeling.emf.teneo project website,3 years,0
www.eclipse.org,emfatic.git,modeling.emft.emfatic project website,4 years,0
www.eclipse.org,emfstore.git,modeling.emft.emf-store project website,8 days,0
www.eclipse.org,epf.git,technology.epf project website,3 weeks,0
www.eclipse.org,epp.git,technology.packaging project website,18 months,0
www.eclipse.org,epsilon.git,modeling.emft.epsilon project website,2 weeks,0
www.eclipse.org,equinox.git,,9 months,0
www.eclipse.org,errors.git,www-auth project website,5 days,0
www.eclipse.org,etrice.git,modeling.mdt.etrice project website,44 hours,0
www.eclipse.org,europa.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,facet.git,modeling.emft.emf-facet project website,2 years,0
www.eclipse.org,flags.git,www-auth project website,4 years,0
www.eclipse.org,flux.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,fmc.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,franca.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,friends.git,www-auth project website,3 years,0
www.eclipse.org,galileo.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,ganymede.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,gef.git,tools.gef project website,2 months,0
www.eclipse.org,gef3d.git,technology.gef3d project website,3 years,0
www.eclipse.org,gemini.git,rt.gemini project website,3 years,0
www.eclipse.org,gemini/blueprint.git,Eclipse Gemini Blueprint project website,8 months,0
www.eclipse.org,gemini/dbaccess.git,Eclipse Gemini DBAccess project website,4 years,0
www.eclipse.org,gemini/jpa.git,rt.gemini.jpa project website,3 years,0
www.eclipse.org,gemini/management.git,Eclipse Gemini Management project website,3 years,0
www.eclipse.org,gemini/naming.git,Eclipse Gemini Naming project website,22 months,0
www.eclipse.org,gemini/web.git,Eclipse Gemini Web project website,2 months,0
www.eclipse.org,gendoc.git,www.eclipse.org project repository,12 days,0
www.eclipse.org,geoperil.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,gmf-notation.git,GMF-Notation website,3 months,0
www.eclipse.org,gmf-runtime.git,www.eclipse.org project repository,3 months,0
www.eclipse.org,gmf-tooling.git,modeling.gmp.gmf-tooling project website,2 years,0
www.eclipse.org,gmt.git,modeling.gmt project website,2 years,0
www.eclipse.org,go.git,www-auth project website,9 months,0
www.eclipse.org,golo.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
www.eclipse.org,graphiti.git,modeling.gmp.graphiti project website,4 weeks,0
www.eclipse.org,gyrex.git,www.eclipse.org project repository,17 months,0
www.eclipse.org,handly.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,hawkbit.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
www.eclipse.org,helios.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,henshin.git,modeling.emft.henshin project website,13 days,0
www.eclipse.org,higgins.git,technology.higgins project website,3 years,0
www.eclipse.org,home.git,Eclipse.org/home website,12 days,0
www.eclipse.org,hono.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
www.eclipse.org,hudson.git,technology.hudson project website,8 months,0
www.eclipse.org,ice.git,www.eclipse.org project repository,8 weeks,0
www.eclipse.org,ide.git,Eclipse.org/IDE website,13 months,0
www.eclipse.org,ignite.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,images.git,www-auth project website,5 months,0
www.eclipse.org,indigo.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,intent.git,mylyn.docs.intent project website,3 years,0
www.eclipse.org,iofog.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,january.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
www.eclipse.org,japanwg.git,www-auth project website,4 years,0
www.eclipse.org,jdt.git,,5 days,0
www.eclipse.org,jdtls.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,jetty.git,www.eclipse.org/jetty project repository,5 hours,0
www.eclipse.org,jgit.git,Eclipse.org/jgit website,2 months,0
www.eclipse.org,jubula.git,technology.jubula project website,5 weeks,0
www.eclipse.org,juno.git,www-auth project website,14 months,0
www.eclipse.org,jwt.git,soa.jwt project website,6 months,0
www.eclipse.org,kapua.git,"Unnamed repository, edit this file 'description' to name the repository.",8 weeks,0
www.eclipse.org,kepler.git,www.eclipse.org project repository,14 months,0
www.eclipse.org,koneki.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,krikkit.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,kura.git,www.eclipse.org project repository,5 weeks,0
www.eclipse.org,ldt.git,tools.ldt project website,4 months,0
www.eclipse.org,legal.git,www-auth project website,5 days,0
www.eclipse.org,leshan.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
www.eclipse.org,libra.git,webtools.libra project website,3 years,0
www.eclipse.org,licenses.git,www-auth project website,2 years,0
www.eclipse.org,linuxtools.git,tools.linuxtools project website,3 months,0
www.eclipse.org,lsp4e.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
www.eclipse.org,lsp4j.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,luna.git,www.eclipse.org project repository,6 months,0
www.eclipse.org,lyo.git,technology.lyo project website,2 months,0
www.eclipse.org,m2e-wtp.git,technology.m2e.m2e-wtp project website,3 months,0
www.eclipse.org,m2e.git,technology.m2e project website,6 months,0
www.eclipse.org,mail.git,Mailing lists,19 months,0
www.eclipse.org,mangrove.git,soa.mangrove project website,3 years,0
www.eclipse.org,mars.git,"Unnamed repository, edit this file 'description' to name the repository.",6 months,0
www.eclipse.org,mat.git,tools.mat project website,7 days,0
www.eclipse.org,mbeddr.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,mdht.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,mdmbl.git,"Unnamed repository, edit this file 'description' to name the repository.",17 months,0
www.eclipse.org,mdmweb.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,membership.git,Eclipse.org/membership website,2 days,0
www.eclipse.org,mft.git,mylyn.context.mft project website,4 years,0
www.eclipse.org,milo.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
www.eclipse.org,mmt.git,modeling.mmt project website,2 months,0
www.eclipse.org,mmt/qvtd.git,modeling.mmt.qvtd project website,3 years,0
www.eclipse.org,mmt/qvto.git,modeling.mmt.qvt-oml project website,18 months,0
www.eclipse.org,mobile.git,www.eclipse.org project repository,2 years,0
www.eclipse.org,modeling.git,modeling project website,8 months,0
www.eclipse.org,modeling/amalgam.git,modeling.amalgam project website,6 months,0
www.eclipse.org,modeling/gmp.git,modeling.gmp project website,3 years,0
www.eclipse.org,modeling/includes.git,modeling project website,17 months,0
www.eclipse.org,modeling/m2t.git,modeling.m2t project website,2 years,0
www.eclipse.org,modeling/m2t/jet.git,modeling.m2t.jet project website,3 years,0
www.eclipse.org,modeling/m2t/xpand.git,modeling.m2t.xpand project website,3 years,0
www.eclipse.org,modeling/mdt.git,modeling.mdt project website,2 days,0
www.eclipse.org,modeling/mdt/bpmn2.git,modeling.mdt.bpmn2 project website,3 years,0
www.eclipse.org,modeling/mdt/ocl.git,modeling.mdt.ocl project website,3 years,0
www.eclipse.org,modeling/mdt/uml2.git,modeling.mdt.uml2 project website,3 years,0
www.eclipse.org,modeling/mdt/xsd.git,modeling.mdt.xsd project website,3 years,0
www.eclipse.org,modeling/tmf.git,modeling.tmf project website,21 months,0
www.eclipse.org,mosquitto.git,www.eclipse.org project repository,6 months,0
www.eclipse.org,mpc.git,technology.packaging.mpc project website,9 months,0
www.eclipse.org,mtj.git,tools.sequoyah.mtj project website,15 months,0
www.eclipse.org,mylyn.git,Eclipse.org/Mylyn website,12 days,0
www.eclipse.org,nattable.git,technology.nebula.nattable project website,12 days,0
www.eclipse.org,nebula.git,technology.nebula project website,3 months,0
www.eclipse.org,neon.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
www.eclipse.org,newsgroups.git,Newsgroups and forums:,2 years,0
www.eclipse.org,objectteams.git,tools.objectteams project website,6 months,0
www.eclipse.org,ocl.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,ogee.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,om2m.git,www.eclipse.org project repository,9 months,0
www.eclipse.org,omr.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,0
www.eclipse.org,oomph.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,openk-platform.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
www.eclipse.org,orbit.git,tools.orbit project website,7 weeks,0
www.eclipse.org,org.git,www.eclipse.org project repository,5 days,0
www.eclipse.org,orion.git,eclipse.orion project website,5 weeks,0
www.eclipse.org,osbp.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
www.eclipse.org,osee.git,OSEE website,21 months,0
www.eclipse.org,package-drone.git,"Unnamed repository, edit this file 'description' to name the repository.",6 months,0
www.eclipse.org,paho.git,technology.paho project website,13 days,0
www.eclipse.org,paho.incubator.git,"Unnamed repository, edit this file 'description' to name the repository.",22 months,0
www.eclipse.org,papyrus-rt.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
www.eclipse.org,papyrus-xtuml.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
www.eclipse.org,papyrus.git,modeling.mdt.papyrus project website,4 weeks,0
www.eclipse.org,pde.git,eclipse.pde project website,3 months,0
www.eclipse.org,pdt.git,tools.pdt project website,3 months,0
www.eclipse.org,photran.git,tools.ptp.photran project website,18 months,0
www.eclipse.org,pmf.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
www.eclipse.org,ponte.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,projects.git,Eclipse.org/projects website,18 hours,0
www.eclipse.org,proposals.git,The Eclipse Project Proposals web directory (/proposals),3 years,0
www.eclipse.org,ptp.git,tools.ptp project website,4 months,0
www.eclipse.org,pulsar.git,www-auth project website,5 months,0
www.eclipse.org,qvtd.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,r4e.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,rap.git,RAP project website,6 weeks,0
www.eclipse.org,rcptt.git,www.eclipse.org project repository,4 months,0
www.eclipse.org,rdf4j.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
www.eclipse.org,recommenders.git,Eclipse.org/Recommenders website,12 days,0
www.eclipse.org,resources.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,richbeans.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
www.eclipse.org,riena.git,rt.riena project website,2 years,0
www.eclipse.org,risev2g.git,"Unnamed repository, edit this file 'description' to name the repository.",21 months,0
www.eclipse.org,rmf.git,modeling.mdt.rmf project website,13 days,0
www.eclipse.org,rt.git,rt project website,4 years,0
www.eclipse.org,rtsc.git,technology.rtsc project website,5 months,0
www.eclipse.org,sapphire.git,www.eclipse.org project repository,2 months,0
www.eclipse.org,sca.git,soa.sca project website,4 years,0
www.eclipse.org,scanning.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,scout.git,technology.scout project website,6 months,0
www.eclipse.org,screenshots.git,www-auth project website,2 years,0
www.eclipse.org,security.git,www-auth project website,9 months,0
www.eclipse.org,simopenpass.git,"Unnamed repository, edit this file 'description' to name the repository.",6 weeks,0
www.eclipse.org,sirius.git,Sirius project website,6 days,0
www.eclipse.org,sisu.git,technology.sisu project website,10 months,0
www.eclipse.org,skalli.git,technology.skalli project website,4 years,0
www.eclipse.org,smarthome.git,www.eclipse.org project repository,3 weeks,0
www.eclipse.org,smila.git,rt.smila project website,12 months,0
www.eclipse.org,soa.git,soa project website,4 years,0
www.eclipse.org,sphinx.git,modeling.mdt.sphinx project website,3 months,0
www.eclipse.org,stardust.git,soa.stardust project website,9 months,0
www.eclipse.org,statet.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
www.eclipse.org,stem.git,technology.stem project website,46 hours,0
www.eclipse.org,subversive.git,technology.subversive project website,3 days,0
www.eclipse.org,sw360.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,swt.git,,17 hours,0
www.eclipse.org,swtbot.git,Eclipse.org/SWTBot website,13 months,0
www.eclipse.org,tcf.git,tools.cdt.tcf project website,4 months,0
www.eclipse.org,technology.git,www-auth project website,7 months,0
www.eclipse.org,texo.git,modeling.emft.texo project website,3 years,0
www.eclipse.org,thym.git,www.eclipse.org project repository,23 months,0
www.eclipse.org,tiaki.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,tigerstripe.git,technology.tigerstripe project website,4 years,0
www.eclipse.org,tinydtls.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,titan.git,"Unnamed repository, edit this file 'description' to name the repository.",2 years,0
www.eclipse.org,tm.git,tools.tm project website,18 months,0
www.eclipse.org,tools.git,tools project website,2 years,0
www.eclipse.org,tracecompass.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
www.eclipse.org,triquetrum.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
www.eclipse.org,tycho.git,technology.tycho project website,4 months,0
www.eclipse.org,umlgen.git,www.eclipse.org project repository,13 months,0
www.eclipse.org,unide.git,"Unnamed repository, edit this file 'description' to name the repository.",9 weeks,0
www.eclipse.org,uomo.git,technology.uomo project website,12 months,0
www.eclipse.org,upr.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,users.git,www-auth project website,6 months,0
www.eclipse.org,usssdk.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
www.eclipse.org,vertx.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,vex.git,Vex project website,24 months,0
www.eclipse.org,viatra.git,modeling.gmt.viatra2 project website,6 weeks,0
www.eclipse.org,virgo.git,Eclipse Virgo Project website,6 days,0
www.eclipse.org,vjet.git,www.eclipse.org project repository,4 years,0
www.eclipse.org,vorto.git,"Unnamed repository, edit this file 'description' to name the repository.",13 days,0
www.eclipse.org,wakaama.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,wazaabi.git,modeling.emft.wazaab project website,3 years,0
www.eclipse.org,webtools.git,webtools project website,4 weeks,0
www.eclipse.org,whiskers.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
www.eclipse.org,windowbuilder.git,Repository for the WindowBuilder website,4 months,0
www.eclipse.org,winery.git,www.eclipse.org project repository,3 years,0
www.eclipse.org,xtend.git,www.eclipse.org project repository,7 days,0
www.eclipse.org,xtext.git,www.eclipse.org project repository,4 years,0
www.eclipse.org,xwt.git,www.eclipse.org project repository,4 years,0
www.eclipse.org,yasson.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
xsd,org.eclipse.xsd.git,xsd project repository,4 months,1
xwt,org.eclipse.xwt.git,XWT is a powerful declarative UI in XML for Eclipse.,9 months,1
yasson,yasson.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,1
z_webmaster,infocentre.git,[no description],,0
z_webmaster,test_matt.git,"Unnamed repository, edit this file 'description' to name the repository.",20 months,0
z_webmaster,testdir.git,,14 months,0
z_webmaster,testhook.git,z_webmaster project repository,3 years,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
