project,repository,description,last activity,selected 
eclipsescada,org.eclipse.scada.releng.git,Eclipse SCADA (Releng),8 min.,0
eclipsescada,org.eclipse.scada.samples.git,Eclipse SCADA (Samples),2 years,0
eclipsescada,org.eclipse.scada.utils.git,Eclipse SCADA (Utils),5 days,0
ecoretools,org.eclipse.ecoretools.git,EMF EcoreTools git repository,6 weeks,1
edapt,org.eclipse.emf.edapt.git,The one and only Edapt Git Repository at Eclipse.org,5 days,1
edje,edje.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,1
edt,org.eclipse.edt.git,edt project repository,4 years,0
eef,org.eclipse.eef.git,,5 days,1
efm,efm.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
efm,org.eclipse.efm-modeling.git,,22 hours,1
efm,org.eclipse.efm-symbex.git,,3 months,0
efxclipse,org.eclipse.efxclipse.git,JavaFX Tooling and Runtime for Eclipse and OSGi,20 hours,1
efxclipse,org.eclipse.efxclipse.travisci.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
egerrit,org.eclipse.egerrit.git,"Unnamed repository, edit this file 'description' to name the repository.",17 hours,1
egf,org.eclipse.emf.egf.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,1
egit,egit-github.git,GitHub Mylyn integration (technology.egit),4 weeks,0
egit,egit-pde.git,EGit related PDE Tools (technology.egit),3 years,0
egit,egit.git,Eclipse Git Team Provider (technology.egit),27 hours,1
ejb,webtools.ejb.git.old,ejb project repository,4 years,0
emf,org.eclipse.emf.eson.git,EMF Simple Object Notation - https://wiki.eclipse.org/ESON,9 weeks,1
emf,org.eclipse.emf.git,EMF,3 weeks,1
emf,org.eclipse.mwe.git,MWE git repository,7 months,0
emf-parsley,org.eclipse.emf-parsley.core.git,emf parsley project repository,,1
emf-parsley,org.eclipse.emf-parsley.git,EMF Parsley,5 days,1
emf-query,org.eclipse.emf.query.git,modeling.emf.query project repository,3 months,1
emf-store,org.eclipse.emf.emfstore.core.git,emf store project repository,5 days,1
emf-store,org.eclipse.emf.emfstore.other.git,emf store project repository,3 years,0
emf-store,org.eclipse.emf.emfstore.releng.git,emf store project repository,4 years,0
emf-transaction,org.eclipse.emf.transaction.git,modeling.emf.transaction project repository,3 months,1
emf-validation,org.eclipse.emf.validation.git,modeling.emf.validation project repository,3 months,1
emfatic,org.eclipse.emfatic.git,modeling.emft.emfatic project repository,10 days,1
emfclient,org.eclipse.emf.ecp.core.git,,5 days,1
emfclient,org.eclipse.emf.ecp.other.git,emfclient project repository,3 years,0
emfclient,org.eclipse.emf.ecp.releng.git,emfclient project repository,4 years,0
emfcompare,acceptance-submodules/testGitExtLibrary.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
emfcompare,acceptance-submodules/testGitExtLibraryID.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
emfcompare,acceptance-submodules/testGitUML.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
emfcompare,acceptance-submodules/testGitUMLDesigner.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
emfcompare,acceptance-submodules/testGitUMLStereotyped.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
emfcompare,org.eclipse.emf.compare-acceptance.git,EMF Compare Acceptance Tests,5 weeks,0
emfcompare,org.eclipse.emf.compare-cli.git,"Unnamed repository, edit this file 'description' to name the repository.",19 months,0
emfcompare,org.eclipse.emf.compare-releng.git,[no description],11 months,0
emfcompare,org.eclipse.emf.compare.git,Model comparison integrated tool and framework,5 days,1
epf,org.eclipse.epf.additional.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.archive.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.composer.git,technology.epf project repository,4 weeks,1
epf,org.eclipse.epf.design.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.docs.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.features.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.libraries.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.nl-libraries.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.nl-src.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.plugins.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.projects.git,technology.epf project repository,5 weeks,1
epf,org.eclipse.epf.prototype.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.tests.git,technology.epf project repository,4 years,0
epf,org.eclipse.epf.wiki.git,technology.epf project repository,3 years,0
epp,org.eclipse.epp.doc.release.git,Eclipse Packaging Project (EPP) - Release Review Documentation,5 years,0
epp,org.eclipse.epp.logging.git,EPP Logging,5 days,0
epp,org.eclipse.epp.old.git,Eclipse Packaging Project (EPP) - Unmaintained code: wizard, installer, ...,5 years,0
epp,org.eclipse.epp.packages.git,Eclipse Packaging Project (EPP) - *** The Packages ***,3 hours,0
epp,org.eclipse.epp.usagedata.git,Eclipse Packaging Project (EPP) - Usage Data Collector (UDC),5 years,0
epsilon,org.eclipse.epsilon.git,"Unnamed repository, edit this file 'description' to name the repository.",10 days,1
equinox,rt.equinox.binaries.git,Repository for the Equinox launcher binaries.,20 hours,0
equinox,rt.equinox.bundles.git,Equinox Bundles,5 days,0
equinox,rt.equinox.framework.git,Equinox Framework,20 hours,1
equinox,rt.equinox.incubator.git,equinox project repository,4 years,0
equinox,rt.equinox.p2.cudf.git,equinox project repository,4 years,0
equinox,rt.equinox.p2.git,Equinox P2,5 days,1
etrice,org.eclipse.etrice.git,eTrice,6 hours,1
facet,org.eclipse.emf.facet.dev.git,facet project repository,3 years,0
facet,org.eclipse.emf.facet.main.git,facet project repository,5 days,1
facet,org.eclipse.emf.facet.releng.git,facet project repository,10 months,0
fmc,org.eclipse.fmc.core.git,fmc project repository,3 years,0
franca,org.eclipse.franca.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gef3d,org.eclipse.gef3d.git,Git repository of the org.eclipse.gef3d project.,4 years,0
gemini,org.eclipse.gemini.git,Gemini Parent Project Repository,,1
gemini.blueprint,org.eclipse.gemini.blueprint.git,,8 months,0
gemini.dbaccess,org.eclipse.gemini.dbaccess.git,gemini.dbaccess project repository,2 years,0
gemini.jpa,org.eclipse.gemini.jpa.git,Gemini JPA Repository,,0
gemini.management,org.eclipse.gemini.managment.git,gemini.management project repository,21 months,0
gemini.naming,org.eclipse.gemini.naming.git,Gemini Naming project implements support for using the JNDI within an OSGi envir...,22 months,0
gemini.web,org.eclipse.gemini.web.gemini-web-container.git,Gemini Web - OSGi web container implementation,9 days,0
gendoc,org.eclipse.gendoc.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,1
geoperil,org.eclipse.geoperil.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
gerrit,4diac/org.eclipse.4diac.forte.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,All-Projects.git,Rights inherited by all other projects,3 months,0
gerrit,All-Users.git,[no description],5 days,0
gerrit,acceleo/org.eclipse.acceleo.git,,5 days,0
gerrit,agail/agail.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,0
gerrit,amalgam/org.eclipse.amalgam.git,Modeling Amalgam git repository,3 weeks,0
gerrit,app4mc/org.eclipse.app4mc.git,Application Platform Project for MultiCore (APP4MC) - Project,5 days,0
gerrit,app4mc/org.eclipse.app4mc.web.git,Application Platform Project for MultiCore (APP4MC) - Repository,5 weeks,0
gerrit,babel/plugins.git,Babel messages editor and plugins,12 days,0
gerrit,babel/server.git,Babel LAMP-based translation server project.,4 weeks,0
